Country/Region,Confirmed,New cases
Afghanistan,36263.0,106.0
Albania,4880.0,117.0
Algeria,27973.0,616.0
Andorra,907.0,10.0
Angola,950.0,18.0
Antigua and Barbuda,86.0,4.0
Armenia,37390.0,73.0
Australia,15303.0,368.0
Austria,20558.0,86.0
Azerbaijan,30446.0,396.0
Bahamas,382.0,40.0
Bahrain,39482.0,351.0
Barbados,110.0,0.0
Belarus,67251.0,119.0
Belgium,66428.0,402.0
Belize,48.0,0.0
Benin,1770.0,0.0
Bhutan,99.0,4.0
Bosnia and Herzegovina,10498.0,731.0
Botswana,739.0,53.0
Brunei,141.0,0.0
Bulgaria,10621.0,194.0
Burkina Faso,1100.0,14.0
Burma,350.0,0.0
Burundi,378.0,17.0
Cabo Verde,2328.0,21.0
Cambodia,226.0,1.0
Cameroon,17110.0,402.0
Central African Republic,4599.0,0.0
Chad,922.0,7.0
China,86783.0,213.0
Comoros,354.0,0.0
Congo (Brazzaville),3200.0,162.0
Congo (Kinshasa),8844.0,13.0
Costa Rica,15841.0,612.0
Cote d'Ivoire,15655.0,59.0
Croatia,4881.0,24.0
Cuba,2532.0,37.0
Cyprus,1060.0,3.0
Czechia,15516.0,192.0
Denmark,13761.0,109.0
Djibouti,5059.0,9.0
Dominica,18.0,0.0
Ecuador,81161.0,467.0
Egypt,92482.0,420.0
El Salvador,15035.0,405.0
Equatorial Guinea,3071.0,0.0
Eritrea,265.0,2.0
Estonia,2034.0,0.0
Eswatini,2316.0,109.0
Ethiopia,14547.0,579.0
Fiji,27.0,0.0
Finland,7398.0,5.0
Gabon,7189.0,205.0
Gambia,326.0,49.0
Georgia,1137.0,6.0
Ghana,33624.0,655.0
Greece,4227.0,34.0
Greenland,14.0,1.0
Grenada,23.0,0.0
Guatemala,45309.0,256.0
Guinea,7055.0,47.0
Guinea-Bissau,1954.0,0.0
Guyana,389.0,19.0
Haiti,7340.0,25.0
Holy See,12.0,0.0
Honduras,39741.0,465.0
Hungary,4448.0,13.0
Iceland,1854.0,7.0
Ireland,25892.0,11.0
Jamaica,853.0,11.0
Japan,31142.0,594.0
Jordan,1176.0,8.0
Kenya,17975.0,372.0
Kosovo,7413.0,496.0
Kuwait,64379.0,606.0
Kyrgyzstan,33296.0,483.0
Laos,20.0,0.0
Latvia,1219.0,0.0
Lebanon,3882.0,132.0
Lesotho,505.0,0.0
Liberia,1167.0,5.0
Libya,2827.0,158.0
Liechtenstein,86.0,0.0
Lithuania,2019.0,11.0
Luxembourg,6321.0,49.0
Madagascar,9690.0,395.0
Malawi,3664.0,24.0
Malaysia,8904.0,7.0
Maldives,3369.0,67.0
Mali,2513.0,3.0
Malta,701.0,1.0
Mauritania,6208.0,37.0
Mauritius,344.0,0.0
Moldova,23154.0,120.0
Monaco,116.0,0.0
Mongolia,289.0,1.0
Montenegro,2893.0,94.0
Morocco,20887.0,609.0
Mozambique,1701.0,32.0
Namibia,1843.0,68.0
Nepal,18752.0,139.0
Netherlands,53413.0,419.0
New Zealand,1557.0,1.0
Nicaragua,3439.0,0.0
Niger,1132.0,0.0
Nigeria,41180.0,648.0
North Macedonia,10213.0,127.0
Norway,9132.0,15.0
Papua New Guinea,62.0,0.0
Paraguay,4548.0,104.0
Poland,43402.0,337.0
Portugal,50299.0,135.0
Rwanda,1879.0,58.0
Saint Kitts and Nevis,17.0,0.0
Saint Lucia,24.0,0.0
Saint Vincent and the Grenadines,52.0,0.0
San Marino,699.0,0.0
Sao Tome and Principe,865.0,2.0
Senegal,9764.0,83.0
Serbia,24141.0,411.0
Seychelles,114.0,0.0
Sierra Leone,1783.0,0.0
Singapore,50838.0,469.0
Slovakia,2181.0,2.0
Slovenia,2087.0,5.0
Somalia,3196.0,18.0
South Korea,14203.0,28.0
South Sudan,2305.0,43.0
Sri Lanka,2805.0,23.0
Sudan,11424.0,39.0
Suriname,1483.0,44.0
Sweden,79395.0,398.0
Switzerland,34477.0,65.0
Syria,674.0,24.0
Taiwan*,462.0,4.0
Tajikistan,7235.0,43.0
Tanzania,509.0,0.0
Thailand,3297.0,6.0
Timor-Leste,24.0,0.0
Togo,874.0,6.0
Trinidad and Tobago,148.0,1.0
Tunisia,1455.0,3.0
Uganda,1128.0,13.0
Ukraine,67096.0,835.0
United Arab Emirates,59177.0,264.0
Uruguay,1202.0,10.0
Uzbekistan,21209.0,678.0
Venezuela,15988.0,525.0
Vietnam,431.0,11.0
West Bank and Gaza,10621.0,152.0
Western Sahara,10.0,0.0
Yemen,1691.0,10.0
Zambia,4552.0,71.0
Zimbabwe,2704.0,192.0
